Event,DeathEstimate,Location,From,Until,Duration,ConflictCode,ContinentCode,Middle,URL,,
1991 Iraqi uprisings in Iraq,141333,Iraq,1991,1991,0.2,3,2,1991,https://en.wikipedia.org/wiki/1991_uprisings_in_Iraq,1991 Iraqi uprisings in Iraq,0
Aceh War,101877,Indonesia,1873,1914,41,1,2,1894,https://en.wikipedia.org/wiki/Aceh_War,Aceh War,0
Albigensian Crusade,447214,Southern France,1208,1229,21,1,1,1219,https://en.wikipedia.org/wiki/Albigensian_Crusade,Albigensian Crusade,0
Algerian Civil War,93808,Algeria,1991,2002,11,2,1,1997,https://en.wikipedia.org/wiki/Algerian_Civil_War,Algerian Civil War,0
Algerian War,724569,Algeria,1954,1962,7,1,1,1958,https://en.wikipedia.org/wiki/Algerian_War,Algerian War,0
American Civil War,800000,South­eastern United StatesandPennsylvania,1861,1865,4,2,4,1863,https://en.wikipedia.org/wiki/American_Civil_War,American Civil War,0
An Lushan Rebellion,21633308,China,755,763,8,2,2,759,https://en.wikipedia.org/wiki/An_Lushan_Rebellion,An Lushan Rebellion,0
Anglo-Spanish War (1585–1604),138285,EuropeandAmericas,1585,1604,19,1,3,1595,https://en.wikipedia.org/wiki/Anglo-Spanish_War_(1585%E2%80%931604),Anglo-Spanish War (1585–1604),0
Angolan Civil War,504158,Angola,1975,2002,27,2,1,1989,https://en.wikipedia.org/wiki/Angolan_Civil_War,Angolan Civil War,0
Angolan War of Independence,92452,Angola,1961,1974,13,1,2,1968,https://en.wikipedia.org/wiki/Angolan_War_of_Independence,Angolan War of Independence,0
Arab–Israeli conflict,116074,Middle East,1948,2020,70,3,2,1983,https://en.wikipedia.org/wiki/Arab%E2%80%93Israeli_conflict,Arab–Israeli conflict,0
Balkan Wars,140000,Balkans,1912,1913,1,1,3,1913,https://en.wikipedia.org/wiki/Balkan_Wars,Balkan Wars,0
Bangladesh Liberation War,500000,East Pakistan,1971,1971,1,1,2,1972,https://en.wikipedia.org/wiki/Bangladesh_Liberation_War,Bangladesh Liberation War,0
Bosnian War,100903,Bosnia and Herzegovina,1991,1995,4,1,3,1993,https://en.wikipedia.org/wiki/Bosnian_War,Bosnian War,0
Burundian Civil War,300000,Burundi,1993,2005,12,2,1,1999,https://en.wikipedia.org/wiki/Burundian_Civil_War,Burundian Civil War,0
Campaigns of Suleiman the Magnificent,200000,"Eastern Europe,Middle EastandNorth Africa",1521,1566,25,1,3,1534,https://en.wikipedia.org/wiki/List_of_campaigns_of_Suleiman_the_Magnificent,Campaigns of Suleiman the Magnificent,0
Carlist Wars,200000,Spain,1820,1876,56,4,3,1848,https://en.wikipedia.org/wiki/Carlist_Wars,Carlist Wars,0
Chinese Civil War,9671401,China,1927,1949,22,2,2,1938,https://en.wikipedia.org/wiki/Chinese_Civil_War,Chinese Civil War,0
Colombian conflict,220000,Colombia,1964,2020,56,1,3,1992,https://en.wikipedia.org/wiki/Colombian_conflict,Colombian conflict,0
Congo Crisis,100000,Republic of the Congo,1960,1965,5,2,3,1963,https://en.wikipedia.org/wiki/Congo_Crisis,Congo Crisis,0
Conquests of Mehmed the Conqueror,873000,Eastern Europe,1451,1481,30,4,3,1466,https://en.wikipedia.org/wiki/Mehmed_the_Conqueror,Conquests of Timur,FUUUCCCKKK
Conquests of Timur,12649111,"Central Asia,Middle EastandSouth Asia",1370,1405,35,4,2,1388,https://en.wikipedia.org/wiki/Timur,,#REF!
Continuation War,387333,Northern Europe,1941,1944,3,2,3,1943,https://en.wikipedia.org/wiki/Continuation_War,Continuation War,0
Crimean War,382047,Crimea,1853,1856,3,1,3,1855,https://en.wikipedia.org/wiki/Crimean_War,Crimean War,0
Crusades,2000000,"Holy Land,Europe",1095,1291,196,2,1,1193,https://en.wikipedia.org/wiki/Crusades,Crusades,0
Cuban War of Independence,362000,Cuba,1895,1898,3,1,4,1897,https://en.wikipedia.org/wiki/Cuban_War_of_Independence,Cuban War of Independence,0
Dungan Revolt,9797959,Qing dynasty,1862,1877,15,2,2,1870,https://en.wikipedia.org/wiki/Dungan_Revolt_(1862%E2%80%9377),Dungan Revolt,0
Eighty Years' War,678233,"TheLow Countries,South America,Caribbean Sea,EastandSoutheast Asia",1568,1648,80,1,3,1608,https://en.wikipedia.org/wiki/Eighty_Years%27_War,Eighty Years' War,0
English Civil War,511527,England,1642,1651,9,2,3,1647,https://en.wikipedia.org/wiki/English_Civil_War,English Civil War,0
Ethiopian Civil War,866025,Ethiopia,1974,1991,17,2,1,1983,https://en.wikipedia.org/wiki/Ethiopian_Civil_War,Ethiopian Civil War,0
European colonization of the Americas,34047026,Americas,1492,1691,199,4,3,1592,https://en.wikipedia.org/wiki/European_colonization_of_the_Americas,European colonization of the Americas,0
First Congo War,447214,Zaire,1996,1997,1,4,3,1997,https://en.wikipedia.org/wiki/First_Congo_War,First Congo War,0
First Indochina War,400000,Southeast Asia,1946,1954,8,1,2,1950,https://en.wikipedia.org/wiki/First_Indochina_War,First Indochina War,0
First Sudanese Civil War,500000,Sudan,1955,1972,17,2,1,1964,https://en.wikipedia.org/wiki/First_Sudanese_Civil_War,First Sudanese Civil War,0
Franco-Dutch War,220000,Western Europe,1672,1678,6,3,6,1675,https://en.wikipedia.org/wiki/Franco-Dutch_War,Franco-Dutch War,0
Franco-Spanish War (1635–1659),200000,Western Europe,1635,1659,24,1,3,1647,https://en.wikipedia.org/wiki/Franco-Spanish_War_(1635%E2%80%931659),Franco-Spanish War (1635–1659),0
French conquest of Algeria,300000,Algeria,1829,1847,18,4,1,1838,https://en.wikipedia.org/wiki/French_conquest_of_Algeria,French conquest of Algeria,0
French invasion of Russia,540000,Russia,1812,1812,0.5,1,2,1812,https://en.wikipedia.org/wiki/French_invasion_of_Russia,French invasion of Russia,0
French Revolutionary Wars,1000000,Worldwide,1792,1802,10,1,2,1797,https://en.wikipedia.org/wiki/French_Revolutionary_Wars,French Revolutionary Wars,0
French Wars of Religion,2828427,France,1562,1598,37,2,2,1581,https://en.wikipedia.org/wiki/French_Wars_of_Religion,French Wars of Religion,0
Gallic Wars,632445,France,-58,-50,9,1,3,-54,https://en.wikipedia.org/wiki/Gallic_Wars,Gallic Wars,0
German Peasants' War,100000,Germany,1524,1525,1,3,1,1525,https://en.wikipedia.org/wiki/German_Peasants%27_War,German Peasants' War,0
Great Northern War,350000,NorthernandEastern Europe,1700,1721,21,1,3,1711,https://en.wikipedia.org/wiki/Great_Northern_War,Great Northern War,0
Great Turkish War,120000,Eastern Europe,1683,1699,16,1,6,1691,https://en.wikipedia.org/wiki/Great_Turkish_War,Great Turkish War,0
Greek Civil War,158000,Greece,1946,1949,3,2,3,1948,https://en.wikipedia.org/wiki/Greek_Civil_War,Greek Civil War,0
Hundred Years' War,2754995,Western Europe,1337,1453,116,1,3,1395,https://en.wikipedia.org/wiki/Hundred_Years%27_War,Hundred Years' War,0
Indian annexation of Hyderabad,90993,India,1948,1948,0.4,4,1,1948,https://en.wikipedia.org/wiki/Indian_annexation_of_Hyderabad,Indian annexation of Hyderabad,0
Indian Rebellion of 1857,2828427,India,1857,1858,1,1,3,1858,https://en.wikipedia.org/wiki/Indian_Rebellion_of_1857,Indian Rebellion of 1857,0
Insurgency in Laos,100000,Laos,1975,2007,32,3,1,1991,https://en.wikipedia.org/wiki/Insurgency_in_Laos,Insurgency in Laos,0
Internal conflict in Myanmar,180278,Myanmar,1948,2020,72,3,2,1984,https://en.wikipedia.org/wiki/Internal_conflict_in_Myanmar,Internal conflict in Myanmar,0
Iran–Iraq War,564041,Iran–Iraq border,1980,1988,8,1,2,1984,https://en.wikipedia.org/wiki/Iran%E2%80%93Iraq_War,Iran–Iraq War,0
Iraq War,364500,Iraq,2003,2011,8,1,2,2007,https://en.wikipedia.org/wiki/Iraq_War,Iraq War,0
Iraqi-Kurdish conflict,210784,Iraq,1918,2003,85,3,2,1961,https://en.wikipedia.org/wiki/Iraqi%E2%80%93Kurdish_conflict,Iraqi-Kurdish conflict,0
Italian conquest of the Horn of Africa,1000000,Horn of Africa,1924,1940,16,1,4,1932,https://en.wikipedia.org/wiki/Italian_conquest_of_the_Horn_of_Africa_(1924%E2%80%931940),Italian conquest of the Horn of Africa,0
Italian Wars,346410,Southern Europe,1494,1559,65,1,3,1527,https://en.wikipedia.org/wiki/Italian_Wars,Italian Wars,0
Japanese invasions of Korea,1000000,Korea,1592,1598,7,1,3,1596,https://en.wikipedia.org/wiki/Japanese_invasions_of_Korea,Japanese invasions of Korea,0
Jewish–Roman wars,836660,Roman Empire,66,136,70,1,3,101,https://en.wikipedia.org/wiki/Jewish%E2%80%93Roman_wars,Jewish–Roman wars,0
Kalinga War,173205,India,-262,-261,2,1,2,-261,https://en.wikipedia.org/wiki/Kalinga_War,Kalinga War,0
Kashmir Conflict,93808,"North India,Pakistan",1947,2020,71,3,2,1983,https://en.wikipedia.org/wiki/Kashmir_Conflict,Kashmir Conflict,0
Kivu Conflict,100000,Democratic Republic of the Congo,2004,2020,14,3,2,2011,https://en.wikipedia.org/wiki/Kivu_conflict,Kivu Conflict,0
Korean War,3000000,Korean Peninsula,1950,1953,4,1,2,1952,https://en.wikipedia.org/wiki/Korean_War,Korean War,0
Kurdish rebellions in Turkey,100000,Middle East,1921,2020,97,3,2,1970,https://en.wikipedia.org/wiki/Kurdish_rebellions_in_Turkey,Kurdish rebellions in Turkey,0
La Violencia,193697,Colombia,1948,1958,10,2,6,1953,https://en.wikipedia.org/wiki/La_Violencia,La Violencia,0
Lebanese Civil War,134164,Lebanon,1975,1990,15,2,2,1983,https://en.wikipedia.org/wiki/Lebanese_Civil_War,Lebanese Civil War,0
